model_name,year,Central GOA,Eastern GOA,Western GOA,abc
Restratified,2014,13966.035976403095,3070.581231718915,2272.3827918779903,19309
Original,2014,13520.353235353326,3659.5229063525985,2129.123858294073,19309
Restratified,2015,15201.105855721444,3572.712706871474,2238.1814374070855,21012
Original,2015,14380.188408847223,4317.500647285756,2314.3109438670203,21012
Restratified,2016,17198.53313060621,4399.988985125019,2838.4778842687692,24437
Original,2016,17062.62722647612,4918.184293576987,2456.1884799468926,24437
Restratified,2017,16343.22923829469,4551.298552473362,3023.4722092319475,23918
Original,2017,17017.624525293755,4709.219067013691,2191.1564076925542,23918
Restratified,2018,21464.48225701357,5438.218548680643,2333.2991943057914,29236
Original,2018,21675.02978130713,5633.653046373286,1927.317172319583,29236
Restratified,2019,22060.800595275006,5085.062503846694,1409.1369008783,28555
Original,2019,21872.335605857403,5339.566416263774,1343.0979778788262,28555
Restratified,2020,24527.99554637178,4678.741402858222,2031.2630507700007,31238
Original,2020,24474.92619868771,5150.3411009748,1612.7327003374874,31238
Restratified,2021,28593.36545487148,4513.611918540146,3070.0226265883734,36177
Original,2021,28893.05388495058,5240.971758571202,2042.974356478219,36177
Restratified,2022,28956.919114420092,6754.409665496669,2556.671220083241,38268
Original,2022,29278.857551371653,7044.7333280967105,1944.409120531635,38268
Restratified,2023,26242.493933117177,9045.160018460478,1905.3460484223422,37193
Original,2023,26921.62574466383,8592.188040449335,1679.186214886837,37193
